Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
"Social Studies Teacher, Middle School",,Bachelor's degree from an accredited college or university required;,,,,"ability to thrive in a collaborative environment Bilingual Spanish/English preferred, not required COMPENSATION AND BENEFITS Perry Street Prep offers a competitive salary commensurate with experience and a comprehensive benefits package."
Full time Custodian/Cleaner,"*The Full time Custodian/Cleaner is responsible for bathroom/kitchen cleaning/sanitizing, vacuuming/mopping floors, dusting, emptying trash etc.",High School Diploma or GED Six months or more of related experience Valid Massachusetts Driver's License required Computer literate or willingness/ability to learn email system and potential computerized Work Order System,,"Bathroom/kitchen cleaning/sanitizing, vacuuming/mopping floors, dusting, emptying trash etc.",,. Good client/customer service skills. Ability to follow oral and written instructions. Ability to prioritize multiple tasks. Ability to work effectively with a team. Ability to work independently as needed to support the group effort. Basic knowledge of cleaning products or willing to learn. Ability to stand or be on feet for entirety of shift Ability to lift 50+ pounds on occasion
Special Education Teacher,The special education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.,education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas. Essential Duties and Responsibilities: •Provides a basic core program for special needs students.,,"The special education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.
Provides a basic core program for special needs students.
Implements curriculum based upon Applied Behavior Analysis including discrete trial training, task analyses, and other
research based curriculum modifications.
Plans curriculum, lessons, and special education programs and teaching methods.
Performs portfolio assessments on necessary students.
Participates in administration of MCAS/MCAS Alt Portfolios.
Evaluates student progress based on data and observation.
Maintains physical environment of the classroom.
Maintains contact with parents of students.
Works with staff to coordinate goals and objectives.
Conducts academic assessments.
Evaluates student progress based on work output and observation, determines goals, objectives and directions.
Supervises and trains 1:1 teachers in implementing curriculum.
Prepares progress notes, IEP forms, classroom observation records, and other miscellaneous surveys and forms.",,
Board Certified Behavior Analyst (BCBA),*The Board Certified Behavior Analyst (BCBA) is responsible for over 9 weeks of paid time off (increases with seniority) and tuition reimbursement consideration for related phd programs.,"education to children with autism spectrum disorders and other developmental disabilities. We strive to build better futures for children and families by helping them to reach their fullest potential and enabling them to live more productive and independent lives. The Behavior Clinician's responsibility is to develop behavior intervention plans for students diagnosed with autism and other disabilities. The behavior clinician will provide staff development on the implementation of particular protocols, data collection and progress monitoring techniques. The behavior clinician is also responsible for directly supervising a small team of staff and handling parent communications. Overall Responsibilities: 1.",,"Over 9 weeks of Paid Time Off (increases with seniority)
Tuition reimbursement consideration for related Phd programs
Childcare reimbursement
Company paid Life and Long Term Disability insurance
Flexible spending account
Paid Conference Days and reimbursement
Directly supervise team members around behavior plans, curriculum modifications, accommodations and social skills and provide staff with resources, tools, and in-class modeling of techniques.
Oversee and provide feedback to staff regarding programming and IEP implementation, and attend IEP meetings and parents meetings.
Develop and oversee behavior plans for in-classroom implementation and assess progress of effectiveness of behavior plans and curriculum modifications.
Conduct behavior assessments and devise appropriate behavior plans.
Facilitate team meetings weekly.
Act as an active training member for ABA staff and management staff. This includes on-site staff training, orientation training, clinical and staff meetings.
Ensure all students are safe by implementing and monitoring de-escalation strategies.",,
Senior Occupational Therapist,Position Type: Full Time- 7am-3pm- some flexibility may be available,Masters degree in Occupational Therapy Preference of at least 5-6 years working experience with specialized populations Complete HJEC training program in Applied Behavior Analysis Experience working directly with children with Autism within a behavioral model preferred.,") Hopeful Journeys' mission is to provide quality and individualized education to children with autism spectrum disorders and other developmental disabilities. We strive to build better futures for children and families by helping them to reach their fullest potential and enabling them to live more productive and independent lives.Hopeful Journeys is designed to meet the individualized academic, social, vocational, and behavioral needs of children ages 3-22. Students who attend the Hopeful Journeys program require an individualized and highly structured environment throughout their day and across all activities that utilizes a teaching methodology based on the principles of Applied Behavior Analysis (ABA). Hopeful Journeys Educational Center is hiring a full-time, licensed Occupational Therapist with a minimum of 5-6 years' experience to provide consultative services in our school for children with autism and other developmental disabilities (ages 3-22). General job responsibilities include: -Analyze Occupational Therapy needs across the organization and develop a plan to target these needs in collaboration with clinicians -Consult with administrators, special education teachers and clinical staff regarding student OT programs and goals -Develop IEP objectives as needed -Conduct annual evaluations and assessments - Identify and conduct organization wide training on Occupational Therapy student programs live and virtually -Collaborate with clinicians on program development related to Transitional and Vocational programming -Conduct OT groups for students - Provide support to the development of gross motor goals and curriculum - Analyze individual student progress and recommend program updates - Meet regularly with the PT for consultation regarding student programming - Train and respond to crisis situation as needed - Providing some, but limited, direct 1:1 services to students","Analyze Occupational Therapy needs across the organization and develop a plan to target these needs in collaboration with clinicians -Consult with administrators, special education teachers and clinical staff regarding student OT programs and goals -Develop IEP objectives as needed -Conduct annual evaluations and assessments - Identify and conduct organization wide training on Occupational Therapy student programs live and virtually -Collaborate with clinicians on program development related to Transitional and Vocational programming -Conduct OT groups for students - Provide support to the development of gross motor goals and curriculum - Analyze individual student progress and recommend program updates - Meet regularly with the PT for consultation regarding student programming - Train and respond to crisis situation as needed - Providing some, but limited, direct 1:1 services to students Knowledge, skills and abilities required: Masters degree in Occupational Therapy Preference of at least 5-6 years working experience with specialized populations Complete HJEC training program in Applied Behavior Analysis",Valid driver's license in good standing and safe driving record.,"Masters degree in Occupational Therapy Preference of at least 5-6 years working experience with specialized populations Complete HJEC training program in Applied Behavior Analysis Experience working directly with children with Autism within a behavioral model preferred. Possess the ability to identify needs and make plans to target these areas Experience with program development related to Transitional and Vocational Programming Knowledge of the federal, state, local legislation, regulations, policies, and procedure that mandate and guide occupational therapy and behavioral therapy practices. Ability to document in accordance with professional standards, state and local guidelines, and reimbursement requirements. Ability to interpret the evaluation data and write a comprehensive report. Experience using computers and an aptitude to learn computer applications. Effective oral and written communication skills with the ability communicate respectively and compassionately to child and their family. Citizenship, residency or work VISA in United States required. Be able to pass a background and CORI check. Valid driver's license in good standing and safe driving record. The above is intended to describe the general content of and requirements for the performance of this job. It is not to be construed as an exhaustive statement of essential functions, responsibilities or requirements."
Special Education Teacher,The special education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.,education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas. Essential Duties and Responsibilities: •Provides a basic core program for special needs students.,,"The special education teacher is responsible for planning ABA instruction and/or adaptation of the education program to enable students to benefit from educational experiences. The teacher is responsible for ensuring that matches the Massachusetts Curriculum Frameworks in specified subject areas.
Provides a basic core program for special needs students.
Implements curriculum based upon Applied Behavior Analysis including discrete trial training, task analyses, and other
research based curriculum modifications.
Plans curriculum, lessons, and special education programs and teaching methods.
Performs portfolio assessments on necessary students.
Participates in administration of MCAS/MCAS Alt Portfolios.
Evaluates student progress based on data and observation.
Maintains physical environment of the classroom.
Maintains contact with parents of students.
Works with staff to coordinate goals and objectives.
Conducts academic assessments.
Evaluates student progress based on work output and observation, determines goals, objectives and directions.
Supervises and trains 1:1 teachers in implementing curriculum.
Prepares progress notes, IEP forms, classroom observation records, and other miscellaneous surveys and forms.",,
Family Engagement and Data Manager,"Perry Street Prep seeks an enthusiastic, driven champion of the school who is detail-oriented and highly organized, eager to work with students, families, and our broader community to be our next Family Engagement and Data Manager. In this role, the candidate will spearhead our work in collecting, analyzing, and managing data related to student records, academic performance, enrollment management, attendance, and other essential metrics. The Family Engagement and Data Manager will develop and implement effective family engagement strategies, driving student enrollment, and maintaining accurate student records. The Family Engagement and Data Manager will update our website, lead efforts to create and update marketing materials, oversee the student enrollment process, build relationships with community organizations, and become a connector for our community. The ideal candidate is detail oriented, creative, a problem solver, and eager to engage with others through various modes of communication. This role is essential for ensuring accurate reporting, supporting data-driven decision-making, and helping improve the educational experience for students and staff alike. This position aligns with Perry Street Prep's goals of creating a welcoming environment for families and students, creating a data-driven operation, and ensuring effective communication with all stakeholders. The Family Engagement and Data Manager reports to the Chief Operations Officer. Daily work hours are 7:45 am to 3:45 pm. This position will require flexibility to work outside of standard business hours, including evenings, weekends, and holidays, based on business needs or project deadlines. The job requires 80-100% on-site work. Key Responsibilities Family Engagement Develop and implement family engagement strategies that foster meaningful partnerships with families and result in meeting enrollment targets Organize and coordinate family events, workshops, and information sessions to build strong school-family relationships Serve as the primary point of contact for families, addressing inquiries and providing guidance on school policies and resources Establish and maintain regular communication channels with families to keep them informed about school activities, important updates, and available resources Manage outreach initiatives to increase student enrollment, strengthen community partnerships, and offer families new opportunities for involvement in the PSP Community Conduct home visits as needed to support family involvement and address barriers to engagement Recruitment and Enrollment Partner with school leaders to create and implement a marketing plan that increases student enrollment and enhances the school's visibility Develop outreach materials, manage social media updates, and organize open house events to attract prospective students and families Represent Perry Street Prep at community events, promoting the school's mission and family-centered approach to prospective families Manage and cultivate external school-based partnerships (e.g., community groups) Data Management Maintain and manage accurate student records, including enrollment (e.g. withdrawal/ transfer) attendance, discipline, grades report cards, assessments, and demographic data, in the school's data systems Collaborate with school administrators, teachers, and other school personnel to provide accurate data for internal reports, state/federal reporting, and other external stakeholders Develop and generate reports to assist in strategic decision-making and provide insights into student performance, retention, and engagement Analyze and interpret data to support school improvement plans, track student progress, and identify trends Manage the production of data dashboards including data related to attendance, discipline, assessments, enrollment, and accountability to drive decision-making and instructional practices Maintain, generate, and distribute student demographic, scheduling, attendance, discipline, and grading information Create and maintain student records, which includes the updating and maintenance of both hard copy and online student records through electronic student information systems Ensure dissemination of records to families, schools, oversight bodies or government agencies are accurate and compliant with deadlines Attend key meetings at PCSB, OSSE, and other organizations as necessary and related to data sharing/reporting and school accountability Lead the school's assessment process including overseeing all state and school-based testing, compliance, and reporting with school staff and students Lead and manage the student enrollment process, from initial inquiry through application, acceptance, and onboarding including overseeing the DC residency verification for new and returning students, ensuring compliance with local regulations Provide training to staff on data entry, reporting tools, and best practices for data integrity Manage data entry processes, perform routine audits to ensure accuracy, and address any discrepancies promptly Provide support and accountability to ensure the achievement of organizational goals Ensure compliance with privacy laws and policies (e.g., FERPA) in handling sensitive student information Other Duties Maintain and update the school website to ensure it reflects Perry Street Prep's values, programs, and key information for families and prospective students Collaborate with school leadership to design engaging web content that supports family engagement, enrollment, and community outreach Regularly review and refresh website content to ensure accuracy and relevance for families, including updates to enrollment procedures, family resources, and event announcements Other duties as assigned","Bachelor's degree in Education, Business Administration, Data Analytics, or a related field","2 years of experience in school enrollment, admissions, or student information systems management, preferably in a charter or public school setting Familiarity with state reporting requirements and accountability measures or evidence of prior work in a highly regulated environment, preferred Proficiency in data management systems (e.","Develop and implement family engagement strategies that foster meaningful partnerships with families and result in meeting enrollment targets
Organize and coordinate family events, workshops, and information sessions to build strong school-family relationships
Serve as the primary point of contact for families, addressing inquiries and providing guidance on school policies and resources
Establish and maintain regular communication channels with families to keep them informed about school activities, important updates, and available resources
Manage outreach initiatives to increase student enrollment, strengthen community partnerships, and offer families new opportunities for involvement in the PSP Community
Conduct home visits as needed to support family involvement and address barriers to engagement
Recruitment and Enrollment
Partner with school leaders to create and implement a marketing plan that increases student enrollment and enhances the school's visibility
Develop outreach materials, manage social media updates, and organize open house events to attract prospective students and families
Represent Perry Street Prep at community events, promoting the school's mission and family-centered approach to prospective families
Manage and cultivate external school-based partnerships (e.g., community groups)
Maintain and manage accurate student records, including enrollment (e.g. withdrawal/ transfer) attendance, discipline, grades report cards, assessments, and demographic data, in the school's data systems
Collaborate with school administrators, teachers, and other school personnel to provide accurate data for internal reports, state/federal reporting, and other external stakeholders
Develop and generate reports to assist in strategic decision-making and provide insights into student performance, retention, and engagement
Analyze and interpret data to support school improvement plans, track student progress, and identify trends",,"interpersonal skills, with the ability to engage diverse families and community members with a culturally responsive approach Ability to work collaboratively with school staff, students, and families Creative approach to problem solving with a ""can-do"" mindset focused on meeting and exceeding goals Physical Abilities These physical characteristics are representative of those that must be met by an employee to successfully perform the essential functions of this job safely.
ability to drive decision-making and instructional practices Maintain, generate, and distribute student demographic, scheduling, attendance, discipline, and grading information Create and maintain student records, which includes the updating and maintenance of both hard copy and online student records through electronic student information systems Ensure dissemination of records to families, schools, oversight bodies or government agencies are accurate and compliant with deadlines Attend key meetings at PCSB, OSSE, and other organizations as necessary and related to data sharing/reporting and school accountability Lead the school's assessment process including overseeing all state and school-based testing, compliance, and reporting with school staff and students Lead and manage the student enrollment process, from initial inquiry through application, acceptance, and onboarding including overseeing the DC residency verification for new and returning students, ensuring compliance with local regulations Provide training to staff on data entry, reporting tools, and best practices for data integrity Manage data entry processes, perform routine audits to ensure accuracy, and address any discrepancies promptly Provide support and accountability to ensure the achievement of organizational goals Ensure compliance with privacy laws and policies (e.
ability to identify trends and insights from data Excellent organizational and time management skills, with the ability to handle multiple tasks and deadlines Excellent written and oral communication and interpersonal skills, with the ability to engage diverse families and community members with a culturally responsive approach Ability to work collaboratively with school staff, students, and families Creative approach to problem solving with a ""can-do"" mindset focused on meeting and exceeding goals Physical Abilities These physical characteristics are representative of those that must be met by an employee to successfully perform the essential functions of this job safely."
Full Time Paraprofessional,"for Paraprofessional: Hopeful Journeys' mission is to provide quality and individualized education to children with autism spectrum disorders and other developmental disabilities. We strive to build better futures for children and families by helping them to reach their fullest potential and enabling them to live more productive and independent lives. The Paraprofessional's primary job responsibilities are implementing behavior intervention & curriculum programs for students with autism spectrum disorder and other developmental disabilities, managing two student cases, and promoting HJEC's mission.","Bachelor's degree in Education, Psychology, Special Education or a related Human Services Field preferred, but not required.",,"Work with students ages 3-22 with autism spectrum disorders and other developmental disabilities utilizing ABA methodology. - Collect and accurately record behavioral, social, academic, and other data as required per students' specific goals and programming. - Demonstrate fluency with behavior plans, discrete trial teaching, and task analysis. - Demonstrate fluency with and correctly implement CALM procedures (including wearing protective equipment as required). - Complete case management and other paperwork tasks. - Participate in community outings with students including, but not limited to: swimming and vocational sites etc. - Ensure effective communication between home and school with appropriate in person parent communication and home note documentation. Knowledge, skills and abilities required: Bachelor's degree in Education, Psychology, Special Education or a related Human Services Field preferred, but not required.",,"and abilities required: Bachelor's degree in Education, Psychology, Special Education or a related Human Services Field preferred, but not required."
"Assistant Principal, Middle School","*The Assistant Principal, Middle School is responsible for student achievement implement the vision for the school's academic program for assigned grade levels observe classroom instruction, provide substantive feedback based on content, and provide direct support to teachers through informal and formal observations develop and implement professional development aligned to the school's academic vision and student achievement outcomes facilitate professional learning communities (plcs) aligned to student achievement outcomes collaborate with key staff to administer interim assessments and required state assessments drive revision of instructional plans in response to assessment data collect, analyze and review student achievement data in coordination with other school and student level data facilitate the examination of data for the purpose of teacher reflection, improved practice, and programmatic changes leading to improved student outcomes implement academic interventions including curricular and program adjustments for students. talent and culture collaborate with the other school leaders to develop, monitor and maintain high academic and behavioral expectations for all students and teachers coach, supervise, and evaluate staff through informal classroom visits, regular formal and informal classroom observations, lesson plan review, and written evaluations for instructional staff support a cohort of new teachers with instructional delivery and classroom management participate in the recruitment and hiring of academic staff (teachers, instructional assistants, coaches, etc.). operations communicate the message of standards-driven teaching and learning to parents/guardians, staff, and students complete other duties as outlined by the school leadership.","Bachelor's degree required. An advanced degree in K-12 school administration, curriculum and instruction, or a related field with strong academic preparation preferred.",,"Student Achievement Implement the vision for the school's academic program for assigned grade levels Observe classroom instruction, provide substantive feedback based on content, and provide direct support to teachers through informal and formal observations Develop and implement professional development aligned to the school's academic vision and student achievement outcomes Facilitate Professional Learning Communities (PLCs) aligned to student achievement outcomes Collaborate with key staff to administer interim assessments and required state assessments Drive revision of instructional plans in response to assessment data Collect, analyze and review student achievement data in coordination with other school and student level data Facilitate the examination of data for the purpose of teacher reflection, improved practice, and programmatic changes leading to improved student outcomes Implement academic interventions including curricular and program adjustments for students. Talent and Culture Collaborate with the other school leaders to develop, monitor and maintain high academic and behavioral expectations for all students and teachers Coach, supervise, and evaluate staff through informal classroom visits, regular formal and informal classroom observations, lesson plan review, and written evaluations for instructional staff Support a cohort of new teachers with instructional delivery and classroom management Participate in the recruitment and hiring of academic staff (teachers, instructional assistants, coaches, etc.). Operations Communicate the message of standards-driven teaching and learning to parents/guardians, staff, and students Complete other duties as outlined by the school leadership",,"communication skills A demonstrated passion for advancing educational opportunities in low-income communities SALARY AND BENEFITS Meridian offers a competitive salary commensurate with experience and a comprehensive benefits package.
Strong problem-solving, critical thinking, and analytic skills Familiarity with Common Core State Standards and state assessment systems (SBAC) Outstanding oral and written communication skills A demonstrated passion for advancing educational opportunities in low-income communities SALARY AND BENEFITS Meridian offers a competitive salary commensurate with experience and a comprehensive benefits package."
