Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
"ELA Teacher, 8th Grade","*The ELA Teacher, 8th Grade is responsible for collaborating with colleagues in developing cohesive common core-aligned curriculum materials, increasing instructional resources, and establishing instructional goals and preparing standards-based lessons that challenge students' critical thinking.",Bachelor's degree from an accredited institution required;,"3 years classroom teaching experience, additional years preferred Leadership experience as a Mentor Teacher, Department Head, Instructional Coach, Academic Director, or Assistant Principal preferred SALARY AND BENEFITS Meridian teachers and staff are compensated competitively for their time and have opportunities to earn additional income through leadership opportunities at the school level, offering extracurricular clubs and sports for students, and facilitating tutoring programs.","Collaborating with colleagues in developing cohesive Common Core-aligned curriculum materials, increasing instructional resources, and establishing instructional goals
Preparing standards-based lessons that challenge students' critical thinking
Utilizing strong content knowledge to effectively present enticing and rigorous Common Core-aligned lessons
Differentiating instruction to accommodate multiple learning styles and abilities
Assessing students' academic and developmental growth through observation and a variety of assessment methods
Tracking and monitoring assessment results in order to regularly refine teaching practices and design differentiated lesson plans
Applying the values of urgency, rigor, and consistency to create a positive learning environment that promotes high expectations
Communicating with students, parents, school staff to ensure that students are on-track in their learning and making progress towards goals
Establishing and implementing effective classroom management procedures, and maintain a productive, safe, and focused learning environment
QUALIFICATIONS, KNOWLEDGE, SKILLS REQUIRED
Successful candidates will possess the following qualifications:
A Bachelor's degree from an accredited institution required; a Master's degree preferred
Minimum of 3 years classroom teaching experience, additional years preferred
Leadership experience as a Mentor Teacher, Department Head, Instructional Coach, Academic Director, or Assistant Principal preferred
Meridian teachers and staff are compensated competitively for their time and have opportunities to earn additional income through leadership opportunities at the school level, offering extracurricular clubs and sports for students, and facilitating tutoring programs. We publish our salary scales for teachers here.",,"strong content knowledge to effectively present enticing and rigorous Common Core-aligned lessons Differentiating instruction to accommodate multiple learning styles and abilities Assessing students' academic and developmental growth through observation and a variety of assessment methods Tracking and monitoring assessment results in order to regularly refine teaching practices and design differentiated lesson plans Applying the values of urgency, rigor, and consistency to create a positive learning environment that promotes high expectations Communicating with students, parents, school staff to ensure that students are on-track in their learning and making progress towards goals Establishing and implementing effective classroom management procedures, and maintain a productive, safe, and focused learning environment Other duties as assigned QUALIFICATIONS, KNOWLEDGE, SKILLS REQUIRED Successful candidates will possess the following qualifications: A Bachelor's degree from an accredited institution required;"
Speech-Language Pathologist,*The Speech-Language Pathologist is responsible for provides direct/indirect service to students diagnosed with a swallowing disorder as it relates to the educational environment and provides an implemented therapeutic program to meet the individual needs of students with diagnosed communication impairment.,,,"Provides direct/indirect service to students diagnosed with a swallowing disorder as it relates to the educational environment
Provides an implemented therapeutic program to meet the individual needs of students with diagnosed communication impairment
Compiles case history data on those cases where additional family history, health history, and early developmental history are deemed appropriate
Conducts speech and language screenings
Coordinates assistive technology support services
Lends support and guidance to child study committees
Maintains all documents required to file Medicaid claims and required by Medicaid, including signed copies of all Health Encounter Tracking Forms, Assessment reports, and progress notes in the student file
Establishes and maintains strong and positive communication lines with all parents
Makes self available for Meridian parent engagement events, such as Parent-Teacher Conferences, Back to School Night, and other events involving families
Ideal candidates will have the following education and experience:
Bachelor's degree from an accredited university required
Master's degree (MA/MS) in Communication Sciences and Disorders or Speech-Language Pathology preferred
Certification as a Speech Language Pathologist by the District of Columbia Office of the State Superintendent of Education (OSSE)
Certificate of Clinical Competence in Speech by the American Speech-Language-Hearing Association (ASHA)
Two or more years of experience working in schools preferred",,
Elementary Principal (2204),"*The Elementary Principal (2204) is responsible for demonstrates skills in office and financial management, and achieves balance between the role of manager and instructional leader and demonstrates understanding of instructional best practices, alignment to curriculum and intervention contexts differentiating the learning styles of students, prek-5 including special education programs.",Master's Degree or higher in Administration or Educational Leadership.,,"Demonstrates skills in office and financial management, and achieves balance between the role of manager and instructional leader.
Demonstrates understanding of instructional best practices, alignment to curriculum and intervention contexts differentiating the learning styles of students, PreK-5 including Special Education programs.
Demonstrates that quality of instruction is the highest educational priority, and demonstrates knowledge of effective teaching techniques.
Demonstrates knowledge of curriculum trends and awareness of curriculum needs
Monitors, assists, and supports curriculum implementation.
Supervises the maintenance of accurate records including state mandated reports and reports to parents on the educational progress and attendance of students.
Seeks and recommends the best-qualified candidates for staff positions, and provides orientation and support for new staff.
Uses a systematic program of visitation, evaluation, and conferencing to provide clear and consistent direction for all staff.
Assists students in developing responsibility for their conduct, and promotes students' respect for the rights, properties, and opinions of others.
Cooperatively monitors the safety and administration of the school and responds to emergency situations requiring first aid, etc.
Leads in the development, supervision, and evaluation of instructional and staff development programs within his/her school.
Acquaints self personally with, and maintains engaged relationships and communications with students, staff and parent community.
Acts as a liaison between the school and the community, encouraging community participation in school activities.
Develops and utilizes procedures used in reporting to the community and maintains effective communication with all stakeholders.
Interprets and enforces District policies and administrative regulations positively and with conviction.","Valid State of Michigan teaching certificate, preferably in Elementary Education.","communication skills Strong problem solving skills Ability to use a variety of leadership styles Ability to plan, organize and execute the full range of administrative tasks Skill in creating an open and well-organized teaching and learning environment Fostering the continued growth of staff members Such alternatives to the above qualifications as the Board may find appropriate and acceptable.
ability to provide quality leadership through: Excellent communication skills Strong problem solving skills Ability to use a variety of leadership styles Ability to plan, organize and execute the full range of administrative tasks Skill in creating an open and well-organized teaching and learning environment Fostering the continued growth of staff members Such alternatives to the above qualifications as the Board may find appropriate and acceptable.
Excellent communication skills Strong problem solving skills Ability to use a variety of leadership styles Ability to plan, organize and execute the full range of administrative tasks Skill in creating an open and well-organized teaching and learning environment Fostering the continued growth of staff members Such alternatives to the above qualifications as the Board may find appropriate and acceptable."
High School English Teacher,"*The High School English Teacher is responsible for provides learning experiences and teaches the course of study prescribed by the district approved curriculum and develops and uses instructional materials suitable for verbal and/or visual instruction of students with a wide range of mental, physical and emotional maturity.",Bachelor's degree including all courses to meet credential requirements. Valid North Carolina license in the grade levels and areas assigned. Must be No Child Left Behind qualified.,,"Provides learning experiences and teaches the course of study prescribed by the District approved curriculum.
Develops and uses instructional materials suitable for verbal and/or visual instruction of students with a wide range of mental, physical and emotional maturity.
Provides individual and group instruction designed to meet individual needs and motivate students.
Establishes and maintains standards of student control required to achieve effective participation in all activities.
Evaluates academic and social growth of students and keeps appropriate records.
Provides appropriate instruction and activities for students to meet school/district policies, goals, and objectives.
Communicates with parents through a variety of means.
Holds parent conferences to discuss the individual student's progress and interprets the school program.
Identifies student needs and cooperates with other professional staff members in assessing and helping students solve health, attitude and learning problems.
Creates an effective environment for learning through functional and attractive displays such as bulletin boards, interest centers, etc.
Maintains professional competence through in-service education activities provided by the district and/or professional growth activities and university courses.
Participates cooperatively with the appropriate administrator to develop the method by which s/he will be evaluated in conformance with district guidelines.
Selects and requisitions instructional materials; maintains inventory records.
Cooperates in school-wide supervision of students during out-of-classroom activities.
Participates in faculty and/or district committees and the sponsorship of student activities.",Valid North Carolina license in the grade levels and areas assigned.,"ability to compare and/or judge the readily observable, functional, structural, or composite characteristics of data, people or things.
ability to speak and/or signal people to convey or exchange information.
ability to ready a variety of correspondence, reports, handbooks, forms, lists, etc.
ability to prepare correspondence, simple reports, forms, instructional materials, etc.
ability to apply principles of logical or scientific thinking to define problems, collect data, establish facts, and draw valid conclusions;
ability to record and deliver information, to explain procedures, to follow oral and written instructions.
ability to deal with people beyond giving and receiving instructions.
Ability to manage instructional time.
Ability to manage student behavior.
Ability to consult with parents, teachers and the community to enhance the learning of students."
EC Preschool Teacher,"*The EC Preschool Teacher is responsible for provides an inviting learning environment following the creative curriculum, foundations, guide to the early years and other state and local curriculum documents and develops and implements daily lesson plans reflecting the needs of individual students and curriculum goals.","ally disadvantaged children; to nurture those attitudes, skills, and knowledge necessary for future successes in school; to build string ties between home and school; to establish good relationships with parents and other staff members.",,"Provides an inviting learning environment following the Creative Curriculum, Foundations, Guide to the Early Years and other state and local curriculum documents.
Develops and implements daily lesson plans reflecting the needs of individual students and curriculum goals.
Assesses student progress by recording daily anecdotal records and by determining expected growth as stated in the curriculum goals.
Provides appropriate materials and experiences which address the social, physical, emotional, and intellectual needs of each student.
Enriches the educational program by participating in local field trips and encouraging classroom visits from various school and community persons.
Previews and selects appropriate instructional supplies.
Provides a child-centered environment which has attractive displays, interest centers and exhibits of students' work.
Plans and coordinates the work of the teacher assistant, parents, and classroom volunteers in daily activities and/or special events.
Develops activities which promote strong home/school relations.
Communicates regularly with parents through individual parent conferences, home visits, journals, phone calls, etc.
Works closely with other community agencies (DSS, mental health, court system, churches, Smart Start) to provide extra help for students.
Assists with screening process of students for possible Pre-K participation/enrollment.
Participates in professional development opportunities dealing with curriculum and current early childhood issues.
Maintains accurate, complete and correct records as required by law, district policy and administrative regulations.
BS in Birth to Kindergarten.  Must be B-K licensed in North Carolina.",,"ability to compare and/or judge the readily observable, functional, structural, or composite characteristics of data, people or things.
ability to speak and/or signal people to convey or exchange information.
ability to read correspondence, invoices, purchase orders, accounting journals, travel reports, checks, etc.
ability to prepare correspondence, reports, vendor payment packets, etc.
Ability to apply common sense understanding to carry out instructions furnished in written or oral form to deal with problems involving several concrete variables in or from standardized situations.
Ability to present material to individuals and groups of people.
Ability to maintain accurate and complete records and files.
Ability to type accurately at a moderate rate.
Ability to use common spreadsheet, word processing and file maintenance programs.
Ability to follow both oral and written instructions."
Executive Assistant to the Head of School,"The assistant to the head of school is a full-time, 8:00 a.m. to 4:00 p.m. 12-month position with occasional evening commitments and weekend hours.The executive assistant to the head of school reports to the head of school and supports the head's leadership role, and performs administrative and operational tasks to maintain an effective and well-organized office.",,,"Provides direct support to the administrative leadership team and board of trustees to maintain and enhance a positive, mission-driven and student-centered school culture.
Provides oversight of the office staff.
Understands and promotes the standards and policies of the School.
Embodies and communicates the School's mission and core values, and mirrors the head's principles of good practice.
Supports the head's daily operations of the School, short and long-term goals, special events, and institutional projects.
Setting and maintaining a calm tone in a fast-paced environment.
Is accessible, approachable, and welcoming.
Fosters a partnership among employees to create a positive environment for students' academic and social-emotional learning.
Respects, affirms and protects the dignity and worth of each member of the community, and exhibits moral and ethical behavior.
Consistently maintains confidentiality and manages sensitive information with discretion, respect, and sensitivity.
Sets professional boundaries, collaborating with constituents within those boundaries.
Assists with various aspects of employee recruitment.
Takes an active part in the full life of the School.
Demonstrates a commitment to lifelong learning and consistent improvement to maintain high standards of performance.
A minimum of five years of experience in office administration (experience as an executive assistant preferred).",,"Ability to work independently as well as with a team.
Excellent administrative, organizational, and time management skills.
Excellent interpersonal, communication and proofreading skills."
School Counselor- High School Level,"Conant Middle High School is accepting applications for a full-time (1.0 FTE) School Counselor position to serve high school learners. A successful candidate will facilitate learning success by assisting learners in setting educational, career, personal and social goals while also proactively engaging with teachers and other support opportunities to ensure learner success. Collaboration, strong communication and organizational skills, and flexibility to support all aspects of learning are essential traits for the successful applicant. Applicants familiar with scheduling, college and career counseling, and web-based data systems are also preferred.",,,,,"strong communication and organizational skills, and flexibility to support all aspects of learning are essential traits for the successful applicant."
"2025-26 Industrial Technology Teacher, Oak Park High School","To help students learn subject matter and skills that will contribute to their development as mature, able, and responsible men and women.",CLASSROOM TEACHER (MIDDLE SCHOOL & HIGH SCHOOL),,"To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skills and abilities required. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions. Meets and instructs assigned classes in the locations and at the times designated. Plans a program of study that, as much as possible, meets the individual needs, interests, and abilities of the students. Creates a classroom environment that is conducive to learning and appropriate to the maturity and interests of the students. Prepares for classes assigned and shows written evidence of preparation upon request of immediate superior. Encourages students to set and maintain standards of classroom behavior. Guides the learning process toward the achievement of curriculum goals and, in harmony with the goals, establishes clear objectives for all lessons, units, and projects to communicate these objectives to students. Employs a variety of instructional techniques and instructional media, consistent with the physical limitations of the location provided and the needs and capabilities of the individuals or student groups involved. Strives to implement by instruction and action the district's philosophy of education and instructional goals and objectives. Assesses the accomplishments of students on a regular basis and provides progress reports as required. Confers with and seeks assistance of district specialists regarding possible learning disabilities of student. Takes all necessary and reasonable precautions to protect students, equipment, materials, and facilities. Maintains accurate, complete, and correct records as required by law, district policy, and administrative regulation. Assists the administration in implementing all policies and rules governing student life and conduct, and, for the classroom, develops reasonable rules of classroom behavior and procedure, and maintains order in the classroom in a fair and just manner. Makes provision for being available to students and parents for education-related purposes outside the instructional day when required or requested to do so under reasonable terms. Plans and supervises purposeful assignments for teacher aide(s) and volunteer(s) and, cooperatively with department heads. Strives to maintain and improve professional competence. Attends staff meetings and serves on staff committees as required. Works with designated team to plan and determine appropriate steps to meet student needs. Demonstrates effective human relations and communication skills. Complies with good safety practices. Complies with all district rules, regulations, and policies. Other duties/responsibilities deemed necessary may be assigned.",Valid Missouri Teacher Certificate Such alternatives to the above qualifications as the Board may find appropriate and acceptable.,". Complies with good safety practices. Complies with all district rules, regulations, and policies. Other duties/responsibilities deemed necessary may be assigned."
Middle School Principal,"Provides instructional leadership to staff including, but not limited to: curriculum development, review, implementation, and professional development. The principal is responsible for building administration and the safety and welfare of both students and staff. Ensures a safe, pleasant, and effective educational atmosphere provides discipline as necessary and enforces school policy.",educational atmosphere provides discipline as necessary and enforces school policy. EDUCATION AND/OR EXPERIENCE: Hold a valid principal's certificate Five years of teaching experience Five years of administrative or supervisory experience is preferred.,,"Direct supervision of any employee assigned to his/her building. Responsible for the overall direction, coordination, and evaluation of his/her building. Carries out supervisory responsibilities in accordance with Board policies and applicable laws. Interviewing, hiring, and training employees
planning, assigning, and directing work. Appraising performance. Rewarding and disciplining employees. Addressing complaints and resolving problems","Direct supervision of any employee assigned to his/her building. Responsible for the overall direction, coordination, and evaluation of his/her building. Carries out supervisory responsibilities in accordance with Board policies and applicable laws. Interviewing, hiring, and training employees; planning, assigning, and directing work. Appraising performance. Rewarding and disciplining employees. Addressing complaints and resolving problems QUALIFICATION REQUIREMENTS: To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions. CERTIFICATES, LICENSES, REGISTRATIONS: Certification for the Principalship through the Missouri Department of Elementary and Secondary Education (DESE) with correct building endorsement.","Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures, or governmental regulations. Ability to write reports, business correspondence, and procedure manuals. Ability to effectively present information and respond to questions from groups of administrators, staff, and the general public. MATHEMATICAL SKILLS: Ability to apply the concepts of basic math, algebra, and geometry consistent with the duties of this position. Ability to calculate figures and amounts such as discounts, interest, commissions, proportions, percentages, area, circumference, and volume. REASONING ABILITY: Ability to define problems, collect data, establish facts, and draw valid conclusions. Ability to solve practical problems and deal with a variety of concrete variables in situations where only limited standardization exists. Ability to interpret an extensive variety of technical instructions in mathematical, written, oral, diagram, or schedule form. TECHNOLOGY: Competent with computer skills, including web browsing, email, word processing, Google platform, and the student information system. Must have the ability to learn and utilize new software programs as systems are upgraded. Utilize smart boards, projectors, copy machines, faxes, and other technology provided by the district. OTHER SKILLS AND ABILITIES: Ability to apply knowledge of current research and theory in specific fields. Ability to communicate clearly and concisely in written and oral form. Ability to establish and maintain effective working relationships with students, parents, staff, and the community. Ability to perform all duties in full compliance with all district requirements and Board policies."
Academic Specialist: 12 Month (STEM/BMAH High School Magnet),"Acts as a strategic collaborative member of the Academic team in support of the AACPS Strategic plan throughout the entire school year. The role encompasses all aspects of curriculum, instruction, assessment, professional learning for all stakeholders, analysis of data, and planning and execution of county wide events to ensuring a positive impact on the achievement of all learners. Provides direct support and assistance to schools to ensure instruction is aligned to best practices for all students. Additional Work Days/Hours Based on the assignment, the following additional work days and/or hours may be required as needed: Ability to work flexible schedules Evenings/Nights Extended hours Outside of normal business hours Summer hours Weekends",Master's Degree in applicable field of education from a regionally accredited college or university required;,,Advanced Professional Certificate (APC) issued by Maryland State Department of Education (MSDE) required. Hold or be eligible for Driver's License (DL) Class C Non-Commercial issued by Maryland or State of Legal Residence (MVA/DMV) required. Daily access to reliable transportation. Driving Requirements Driving is required to conduct bona fide Board business that is within the scope of employment in this position. Personal Vehicle LEADERSHIP ROLE Lead Worker Duties/Responsibilities Train employees Direct the work of employees Provide feedback to assist the supervisor's assessment of the employee's performance Plan the work Instruct employees in specific techniques and technical methods to use Perform same type of work as employees the Lead Worker is assigned to lead,Advanced Professional Certificate (APC) issued by Maryland State Department of Education (MSDE) required. Hold or be eligible for Driver's License (DL) Class C Non-Commercial issued by Maryland or State of Legal Residence (MVA/DMV) required. Daily access to reliable transportation. Driving Requirements Driving is required to conduct bona fide Board business that is within the scope of employment in this position. Personal Vehicle LEADERSHIP ROLE Lead Worker Duties/Responsibilities Train employees Direct the work of employees Provide feedback to assist the supervisor's assessment of the employee's performance Plan the work Instruct employees in specific techniques and technical methods to use Perform same type of work as employees the Lead Worker is assigned to lead,Advanced Professional Certificate (APC) issued by Maryland State Department of Education (MSDE) required. Hold or be eligible for Driver's License (DL) Class C Non-Commercial issued by Maryland or State of Legal Residence (MVA/DMV) required. Daily access to reliable transportation. Driving Requirements Driving is required to conduct bona fide Board business that is within the scope of employment in this position. Personal Vehicle LEADERSHIP ROLE Lead Worker Duties/Responsibilities Train employees Direct the work of employees Provide feedback to assist the supervisor's assessment of the employee's performance Plan the work Instruct employees in specific techniques and technical methods to use Perform same type of work as employees the Lead Worker is assigned to lead PHYSICAL DEMANDS/WORKING CONDITIONS The physical demands and working conditions described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Teacher,"*The Teacher is responsible for nurture relationships with each student and family and guide student learning in math, ela, and project-based science and social studies fieldwork experiences.","education, and are nurturing, reflective, and creative problem-solvers who are committed to our community and our school's Mission. Teacher certification or three years teaching experience is preferred. Heartwood has a four-day school week for students, leaving Fridays each week for teachers to plan, prepare, and collaborate. Annual Salary: $45,006 No health benefits at this time Teacher Responsibilities -Nurture relationships with each student and family -Guide student learning in math, ELA, and project-based science and social studies Fieldwork experiences -Monitor and guide students in goal setting and organization -Work with the Administrative Team to develop curriculum -Adapt place-based & nature-based methods and curriculum to the New Hampshire State Standards and vice versa -Partner with colleagues, administration, and families to meet the needs of students -Observe and track student progress, keep records, and work with the learning coordinator to maintain individualized learning plans and to complete progress reports -Conduct assessments -Implement Individualized Education Plans -Lead conferences with families -Participate in professional development, including training in Place-based education -Maintain a safe, respectful, positive, organized, and clean classroom environment -Facilitate student discussions regarding safety and appropriate behavior within the school environment and out in the community -Act as a mandated reporter for suspicions of neglect, abuse, etc.",,"Nurture relationships with each student and family
Guide student learning in math, ELA, and project-based science and social studies Fieldwork experiences
Monitor and guide students in goal setting and organization
Work with the Administrative Team to develop curriculum
Adapt place-based & nature-based methods and curriculum to the New Hampshire State Standards and vice versa
Partner with colleagues, administration, and families to meet the needs of students
Observe and track student progress, keep records, and work with the learning coordinator to maintain individualized learning plans and to complete progress reports
Implement Individualized Education Plans
Lead conferences with families
Participate in professional development, including training in Place-based education
Maintain a safe, respectful, positive, organized, and clean classroom environment
Facilitate student discussions regarding safety and appropriate behavior within the school environment and out in the community
Act as a mandated reporter for suspicions of neglect, abuse, etc.
Model Heartwood's values in visible daily actions
Teacher Qualifications",,
Columbia Superintendent,"Columbia Public Schools provides an excellent education for all students. We seek a Superintendent who serves as the chief executive officer for the operation and control of all schools, agencies and activities under the jurisdiction of the Columbia Board of Education. This individual should believe in the following compelling purpose: Every child will graduate college-, career-, and life-ready. To accomplish this, candidates for this position must believe in high-level collaboration and shared leadership, and they must have a history of leading with empathy, compassion, and a growth mindset.","education for all students. We seek a Superintendent who serves as the chief executive officer for the operation and control of all schools, agencies and activities under the jurisdiction of the Columbia Board of Education. This individual should believe in the following compelling purpose: Every child will graduate college-, career-, and life-ready.",,"//www.cpsk12.org. REPORTING RELATIONSHIPS Reports To: The Columbia Board of Education Supervises: Chief Academics Officer, Chief Schools Officer, Chief Financial Officer, Chief Operations Officer, Chief Human Resources Officer, Chief Equity Officer, Chief Communications Officer, Safety and Security Director, Secretary to the Superintendent",,"Present information to teachers, staff, other administrators, and boards. Respond to common questions and concerns. Interview students, staff, and teachers. Read, analyze, and interpret professional journals, memoranda, policies, administrative procedures, and statutes. Write business correspondence, including staff memoranda and newsletter articles. Keep information confidential when required by law, policy, or the nature of a particular situation."
Bus Driver- Special Education,,"Education REQUIRED CAPABILITIES: Sufficient command of the English language to communicate with students, parents, district staff members, and concerned individuals regarding all aspects of their job-related activities.",,,valid Washington state school bus driver's certificate;,
